"timestamp","relogoRun","boidBoidCollisions","boidObstacleCollisions","flocksMaxSize","flocksNumber"
61.0,1,0.0,0,10,5
62.0,1,0.0,0,10,5
63.0,1,0.0,0,10,5
64.0,1,0.0,0,10,5
65.0,1,0.0,0,10,5
66.0,1,0.0,0,10,5
67.0,1,1.0,0,10,5
68.0,1,1.0,0,10,5
69.0,1,1.0,0,10,5
70.0,1,1.0,0,10,5
71.0,1,1.0,0,10,5
72.0,1,1.0,0,10,5
73.0,1,1.0,0,10,5
74.0,1,0.0,0,10,5
75.0,1,0.0,0,10,5
76.0,1,0.0,0,10,5
77.0,1,0.0,0,10,5
78.0,1,1.0,0,10,5
79.0,1,1.0,0,10,5
80.0,1,1.0,0,10,5
81.0,1,1.0,0,10,5
82.0,1,1.0,0,10,5
83.0,1,1.0,0,10,5
84.0,1,0.0,0,10,5
85.0,1,0.0,0,10,5
86.0,1,0.0,0,10,5
87.0,1,0.0,0,10,5
88.0,1,0.0,0,10,5
89.0,1,0.0,0,10,5
90.0,1,0.0,0,10,5
91.0,1,0.0,0,10,5
92.0,1,0.0,0,10,5
93.0,1,0.0,0,10,5
94.0,1,0.0,0,10,5
95.0,1,0.0,0,10,5
96.0,1,0.0,1,10,5
97.0,1,0.0,1,10,5
98.0,1,0.0,1,10,5
99.0,1,0.0,0,10,5
100.0,1,0.0,0,10,5
101.0,1,0.0,0,10,5
102.0,1,0.0,0,10,5
103.0,1,0.0,0,10,5
104.0,1,0.0,0,10,5
105.0,1,0.0,0,10,5
106.0,1,0.0,0,10,5
107.0,1,0.0,0,10,4
108.0,1,0.0,0,10,4
109.0,1,0.0,0,10,4
110.0,1,0.0,0,10,4
111.0,1,0.0,0,10,4
112.0,1,0.0,0,10,4
113.0,1,0.0,0,10,4
114.0,1,1.0,0,10,4
115.0,1,1.0,0,10,4
116.0,1,1.0,0,10,4
117.0,1,1.0,0,10,4
118.0,1,1.0,0,7,5
119.0,1,1.0,0,7,5
120.0,1,1.0,1,10,5
121.0,1,0.0,1,7,6
122.0,1,0.0,1,10,4
123.0,1,1.0,1,10,5
124.0,1,2.0,0,10,4
125.0,1,2.0,0,10,4
126.0,1,2.0,0,10,4
127.0,1,1.0,0,10,4
128.0,1,1.0,0,10,4
129.0,1,0.0,0,10,4
130.0,1,0.0,0,10,4
131.0,1,1.0,0,10,4
132.0,1,1.0,0,10,4
133.0,1,1.0,0,10,4
134.0,1,1.0,0,10,4
135.0,1,1.0,0,10,4
136.0,1,1.0,0,10,4
137.0,1,1.0,0,10,4
138.0,1,1.0,0,10,4
139.0,1,1.0,0,10,4
140.0,1,1.0,0,10,4
141.0,1,1.0,0,10,4
142.0,1,2.0,1,10,4
143.0,1,2.0,1,10,4
144.0,1,0.0,1,10,4
145.0,1,1.0,0,10,4
146.0,1,2.0,0,10,4
147.0,1,2.0,1,10,4
148.0,1,2.0,1,10,4
149.0,1,2.0,2,10,4
150.0,1,1.0,1,10,4
151.0,1,2.0,0,10,4
152.0,1,2.0,0,10,4
153.0,1,2.0,0,10,4
154.0,1,2.0,0,10,4
155.0,1,2.0,0,10,4
156.0,1,1.0,0,10,4
157.0,1,2.0,0,10,4
158.0,1,2.0,0,10,4
159.0,1,2.0,0,10,4
160.0,1,2.0,0,10,4
161.0,1,1.0,0,10,4
162.0,1,1.0,0,10,4
163.0,1,1.0,0,10,4
164.0,1,1.0,0,10,4
165.0,1,1.0,0,10,4
166.0,1,2.0,0,10,4
167.0,1,2.0,0,10,4
168.0,1,2.0,0,10,4
