timestamp,relogoRun,boidBoidCollisions,boidObstacleCollisions,flocksMaxSize,flocksNumber
112,1,0,0,10,4
113,1,0,0,10,4
114,1,1,0,10,4
115,1,1,0,10,4
116,1,1,0,10,4
117,1,1,0,10,4
118,1,1,0,7,5
119,1,1,0,7,5
120,1,1,1,10,5
121,1,0,1,7,6
122,1,0,1,10,4
123,1,1,1,10,5
124,1,2,0,10,4
125,1,2,0,10,4
126,1,2,0,10,4
127,1,1,0,10,4
128,1,1,0,10,4
129,1,0,0,10,4
130,1,0,0,10,4
131,1,1,0,10,4
132,1,1,0,10,4
133,1,1,0,10,4
134,1,1,0,10,4
135,1,1,0,10,4
136,1,1,0,10,4
137,1,1,0,10,4
138,1,1,0,10,4
139,1,1,0,10,4
140,1,1,0,10,4
141,1,1,0,10,4
142,1,2,1,10,4
143,1,2,1,10,4
144,1,0,1,10,4
145,1,1,0,10,4
146,1,2,0,10,4
147,1,2,1,10,4
148,1,2,1,10,4
149,1,2,2,10,4
150,1,1,1,10,4
151,1,2,0,10,4
152,1,2,0,10,4
153,1,2,0,10,4
154,1,2,0,10,4
155,1,2,0,10,4
156,1,1,0,10,4
157,1,2,0,10,4
158,1,2,0,10,4
159,1,2,0,10,4
160,1,2,0,10,4
161,1,1,0,10,4
162,1,1,0,10,4
163,1,1,0,10,4
164,1,1,0,10,4
165,1,1,0,10,4
166,1,2,0,10,4
167,1,2,0,10,4
168,1,2,0,10,4
169,1,1,0,10,4
170,1,2,0,10,4
171,1,1,0,10,4
172,1,1,0,10,4
173,1,3,0,10,4
174,1,4,0,10,4
175,1,4,0,10,4
176,1,2,0,10,4
177,1,2,0,10,4
178,1,1,0,10,4
179,1,1,0,10,4
180,1,0,0,10,4
181,1,3,1,10,4
182,1,3,2,10,4
183,1,2,1,10,4
184,1,4,1,10,4
185,1,3,0,10,4
186,1,3,0,10,4
187,1,3,0,10,4
188,1,3,0,10,4
189,1,3,0,10,4
190,1,2,0,10,4
191,1,3,0,10,4
192,1,2,0,10,4
193,1,2,0,10,4
194,1,2,0,10,4
195,1,2,0,10,4
196,1,2,0,10,4
197,1,2,0,10,4
198,1,1,0,10,3
199,1,1,0,10,3
200,1,2,0,10,3
201,1,1,0,10,3
202,1,1,0,10,3
203,1,0,0,10,3
204,1,0,0,10,3
205,1,1,0,10,3
206,1,1,0,10,3
207,1,2,0,10,3
208,1,2,0,10,3
209,1,2,0,10,3
210,1,3,0,10,3
211,1,4,0,10,3
212,1,2,0,10,3
213,1,3,0,10,3
214,1,3,0,10,3
215,1,3,0,10,3
216,1,1,0,10,3
217,1,4,0,10,3
218,1,2,0,10,3
219,1,3,0,10,3
220,1,3,0,10,3
221,1,1,0,10,3
222,1,1,0,10,3
223,1,1,0,10,3
224,1,3,0,10,3
225,1,1,0,10,3
226,1,0,0,10,3
227,1,1,0,10,3
228,1,0,0,10,3
229,1,1,0,10,3
230,1,0,0,10,3
231,1,1,0,10,3
232,1,1,0,10,3
233,1,1,0,10,3
234,1,1,0,10,3
235,1,1,0,10,3
236,1,1,0,10,3
237,1,2,0,10,3
238,1,1,0,10,3
239,1,2,0,10,3
240,1,2,0,10,3
241,1,2,0,10,3
242,1,1,0,10,3
243,1,1,0,10,3
244,1,1,0,10,3
